game_date,player,card,url
2004-03-10,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2004-03-10
2004-03-07,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2004-03-07
2004-03-03,(Iain Hume 60),yellow,https://www.tranmere-web.com/match/2003/2004-03-03
2004-02-21,Paul Linwood,yellow,https://www.tranmere-web.com/match/2003/2004-02-21
2004-02-21,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-02-21
2004-02-21,(Alex Hay 67),yellow,https://www.tranmere-web.com/match/2003/2004-02-21
2004-02-14,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2004-02-14
2004-02-14,Alan Navarro,yellow,https://www.tranmere-web.com/match/2003/2004-02-14
2004-02-07,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2004-02-07
2004-02-07,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2004-02-07
2004-02-07,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-02-07
2004-02-07,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2004-02-07
2004-01-31,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-01-31
2004-01-31,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2004-01-31
2004-01-31,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-01-31
2004-01-31,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2004-01-31
2004-01-31,Micky Mellon,red,https://www.tranmere-web.com/match/2003/2004-01-31
2004-01-27,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2004-01-27
2004-01-24,Ian Sharps,yellow,https://www.tranmere-web.com/match/2003/2004-01-24
2004-01-24,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2004-01-24
2004-01-24,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2004-01-24
2004-01-17,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-01-17
2004-01-17,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2004-01-17
2004-01-13,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2004-01-13
2004-01-13,Ian Sharps,yellow,https://www.tranmere-web.com/match/2003/2004-01-13
2004-01-13,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-01-13
2004-01-10,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2004-01-10
2004-01-03,Paul Linwood,yellow,https://www.tranmere-web.com/match/2003/2004-01-03
2004-01-03,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-01-03
2004-01-03,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-01-03
2003-12-28,Ian Sharps,yellow,https://www.tranmere-web.com/match/2003/2003-12-28
2003-12-28,Iain Hume,yellow,https://www.tranmere-web.com/match/2003/2003-12-28
2003-12-26,Graham Allen,yellow,https://www.tranmere-web.com/match/2003/2003-12-26
2003-12-26,Paul Linwood,yellow,https://www.tranmere-web.com/match/2003/2003-12-26
2003-12-26,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2003-12-26
2003-12-26,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2003-12-26
2003-12-20,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2003-12-20
2003-12-20,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2003-12-20
2003-12-13,Tyrone Loran,yellow,https://www.tranmere-web.com/match/2003/2003-12-13
2003-12-13,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2003-12-13
2003-12-13,Danny Harrison,red,https://www.tranmere-web.com/match/2003/2003-12-13
2003-11-29,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2003-11-29
2003-11-22,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2003-11-22
2003-11-15,Iain Hume,yellow,https://www.tranmere-web.com/match/2003/2003-11-15
2003-11-08,Simon Haworth,yellow,https://www.tranmere-web.com/match/2003/2003-11-08
2003-11-01,Danny Harrison,yellow,https://www.tranmere-web.com/match/2003/2003-11-01
2003-10-25,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2003-10-25
2003-10-25,Iain Hume,yellow,https://www.tranmere-web.com/match/2003/2003-10-25
2003-10-21,(Steven Jennings 54),yellow,https://www.tranmere-web.com/match/2003/2003-10-21
2003-10-18,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2003-10-18
2003-10-18,Simon Haworth,yellow,https://www.tranmere-web.com/match/2003/2003-10-18
2003-10-11,Kevin Gray,yellow,https://www.tranmere-web.com/match/2003/2003-10-11
2003-10-11,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2003-10-11
2003-10-06,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2003-10-06
2003-10-06,(Graham Allen 45),yellow,https://www.tranmere-web.com/match/2003/2003-10-06
2003-10-06,Tyrone Loran,yellow,https://www.tranmere-web.com/match/2003/2003-10-06
2003-10-06,Danny Harrison,yellow,https://www.tranmere-web.com/match/2003/2003-10-06
2003-10-06,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2003-10-06
2003-10-06,Simon Haworth,yellow,https://www.tranmere-web.com/match/2003/2003-10-06
2003-09-30,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2003-09-30
2003-09-30,Tyrone Loran,yellow,https://www.tranmere-web.com/match/2003/2003-09-30
2003-09-30,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2003-09-30
2003-09-27,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2003-09-27
2003-09-27,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2003-09-27
2003-09-23,Simon Haworth,yellow,https://www.tranmere-web.com/match/2003/2003-09-23
2003-09-20,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2003-09-20
2003-09-20,Ian Sharps,yellow,https://www.tranmere-web.com/match/2003/2003-09-20
2003-09-20,Tyrone Loran,yellow,https://www.tranmere-web.com/match/2003/2003-09-20
2003-09-20,Simon Haworth,yellow,https://www.tranmere-web.com/match/2003/2003-09-20
2003-09-20,Chris Dagnall,yellow,https://www.tranmere-web.com/match/2003/2003-09-20
2003-09-16,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2003-09-16
2003-09-16,Graham Allen,yellow,https://www.tranmere-web.com/match/2003/2003-09-16
2003-09-16,Simon Haworth,yellow,https://www.tranmere-web.com/match/2003/2003-09-16
2003-09-16,Graham Allen,red,https://www.tranmere-web.com/match/2003/2003-09-16
2003-09-13,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2003-09-13
2003-09-06,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2003-09-06
2003-08-30,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2003-08-30
2003-08-30,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2003-08-30
2003-08-30,Eugene Dadi,red,https://www.tranmere-web.com/match/2003/2003-08-30
2003-08-23,Ian Sharps,yellow,https://www.tranmere-web.com/match/2003/2003-08-23
