game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
1990-02-06,NA,QF,NA,Quarter-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-01-09,NA,1,NA,1st round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-12-12,NA,P,NA,Preliminary round - Northern Section - Group 4,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-11-29,NA,4,NA,4th round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-11-22,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-11-18,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-11-07,NA,P,NA,Preliminary round - Northern Section - Group 4,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-10-23,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-10-03,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,2-0,2,0,NA,NA
1989-09-19,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-08-29,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,7-4,7,4,NA,NA
1989-08-22,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-01-17,NA,1,NA,1st round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-01-11,NA,3,NA,3rd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-01-07,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-12-13,NA,P,NA,Preliminary round - Northern Section - Group 7,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-12-10,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-12-05,NA,P,NA,Preliminary round - Northern Section - Group 7,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-11-29,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-11-22,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-11-19,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-11-01,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-10-11,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,1-0,1,0,NA,NA
1988-09-28,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-09-05,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,2-1,2,1,NA,NA
1988-08-29,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-11-16,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-11-14,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-10-27,NA,P,NA,Preliminary round - Northern Section - Group 1,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-10-13,NA,P,NA,Preliminary round - Northern Section - Group 1,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-08-25,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,2-3,2,3,NA,NA
1987-08-18,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-02-03,NA,P,NA,Preliminary round - Northern Section - Group 5,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-12-06,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-11-25,NA,P,NA,Preliminary round - Northern Section - Group 5,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-11-15,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-09-02,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,4-5,4,5,NA,NA
1986-08-26,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-03-11,NA,QF,NA,Quarter-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-02-26,NA,P,NA,Preliminary round - Northern Section - Group 5,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-01-20,NA,P,NA,Preliminary round - Northern Section - Group 5,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-12-10,NA,2,NA,2nd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-12-07,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-11-19,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-11-16,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-09-04,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,3-1,1,3,NA,NA
1985-08-28,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-04-11,NA,QF,NA,Quarter-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-03-19,NA,2,NA,2nd round - northern section,0,Northern,1,W,5-4,5,4,NA,NA,NA,NA,NA,NA
1985-01-29,NA,1,NA,1st round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-01-23,NA,1,NA,1st round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-12-08,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-11-20,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-11-17,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-09-04,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,5-4,4,5,NA,NA
1984-08-28,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-05-18,NA,F,1,Final - northern section (1st leg),0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-04-17,NA,SF,NA,Semi-final - northern section,0,Northern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
