season,game_no,game_date,disam_name,player_name,goals_scored
1928/29,3,1928-09-01,Richards,Percy Richards,1
1928/29,4,1928-09-05,Charlton,Billy Charlton,1
1928/29,5,1928-09-08,Littlehales,Harry Littlehales,1
1928/29,6,1928-09-15,Charlton,Billy Charlton,1
1928/29,8,1928-09-29,Charlton,Billy Charlton,2
1928/29,8,1928-09-29,Littlehales,Harry Littlehales,1
1928/29,9,1928-10-06,Urmson,Fred Urmson,1
1928/29,10,1928-10-13,Lewis,Ginger Lewis,1
1928/29,10,1928-10-13,Charlton,Billy Charlton,1
1928/29,10,1928-10-13,Flanagan,Jack Flanagan,1
1928/29,11,1928-10-20,Bamber,Jack Bamber,1
1928/29,12,1928-10-27,Littlehales,Harry Littlehales,1
1928/29,13,1928-11-03,Charlton,Billy Charlton,2
1928/29,13,1928-11-03,Beswick,Sammy Beswick,2
1928/29,13,1928-11-03,Littlehales,Harry Littlehales,1
1928/29,13,1928-11-03,Cartman,Bert Cartman,1
1928/29,14,1928-11-10,Beswick,Sammy Beswick,2
1928/29,15,1928-11-17,Littlehales,Harry Littlehales,4
1928/29,15,1928-11-17,Cartman,Bert Cartman,2
1928/29,16,1928-11-24,Flanagan,Jack Flanagan,1
1928/29,16,1928-11-24,Beswick,Sammy Beswick,1
1928/29,17,1928-12-01,Jones,Tommy Jones,1
1928/29,17,1928-12-01,Littlehales,Harry Littlehales,1
1928/29,17,1928-12-01,OG,OG,1
1928/29,19,1928-12-15,Jones,Tommy Jones,1
1928/29,19,1928-12-15,Beswick,Sammy Beswick,1
1928/29,20,1928-12-22,Beswick,Sammy Beswick,1
1928/29,21,1928-12-25,Beswick,Sammy Beswick,1
1928/29,22,1928-12-29,Cartman,Bert Cartman,1
1928/29,22,1928-12-29,Beswick,Sammy Beswick,1
1928/29,23,1929-01-01,Cartman,Bert Cartman,1
1928/29,25,1929-01-12,Beswick,Sammy Beswick,1
1928/29,26,1929-01-19,Cartman,Bert Cartman,2
1928/29,27,1929-02-02,Littlehales,Harry Littlehales,1
1928/29,28,1929-02-09,Barton,Teddy Barton,1
1928/29,29,1929-02-16,Flanagan,Jack Flanagan,1
1928/29,30,1929-02-23,Lewis,Ginger Lewis,1
1928/29,31,1929-03-02,Charlton,Billy Charlton,1
1928/29,31,1929-03-02,Urmson,Fred Urmson,1
1928/29,33,1929-03-09,Jones,Tommy Jones,1
1928/29,33,1929-03-09,Charlton,Billy Charlton,3
1928/29,33,1929-03-09,Beswick,Sammy Beswick,1
1928/29,34,1929-03-16,Gray R,Robert Gray,1
1928/29,34,1929-03-16,Beswick,Sammy Beswick,1
1928/29,35,1929-03-23,Charlton,Billy Charlton,1
1928/29,35,1929-03-23,Beswick,Sammy Beswick,2
1928/29,35,1929-03-23,OG,OG,1
1928/29,36,1929-03-29,Charlton,Billy Charlton,1
1928/29,36,1929-03-29,Beswick,Sammy Beswick,2
1928/29,37,1929-03-30,Jones,Tommy Jones,1
1928/29,37,1929-03-30,Littlehales,Harry Littlehales,1
1928/29,38,1929-04-01,Urmson,Fred Urmson,1
1928/29,39,1929-04-02,Urmson,Fred Urmson,1
1928/29,40,1929-04-06,Cartman,Bert Cartman,1
1928/29,40,1929-04-06,Beswick,Sammy Beswick,1
1928/29,40,1929-04-06,Littlehales,Harry Littlehales,1
1928/29,40,1929-04-06,Urmson,Fred Urmson,1
1928/29,41,1929-04-13,Jones,Tommy Jones,1
1928/29,41,1929-04-13,Beswick,Sammy Beswick,1
1928/29,42,1929-04-20,Charlton,Billy Charlton,1
1928/29,43,1929-04-27,Jones,Tommy Jones,1
1928/29,43,1929-04-27,Charlton,Billy Charlton,1
1928/29,44,1929-05-04,Naylor,Tommy Naylor,1
1928/29,44,1929-05-04,Charlton,Billy Charlton,1
1928/29,44,1929-05-04,Ridding,Bill Ridding,1
1929/30,1,1929-08-31,Naylor,Tommy Naylor,1
