season,game_no,scorers
1935/36,20,Billy Eden
1935/36,21,OG
1935/36,22,"Willie MacDonald, Bunny Bell 9, Billy Woodward 2, Fred Urmson"
1935/36,23,"Billy Woodward, Fred Urmson, OG"
1935/36,26,"Willie MacDonald, Bunny Bell, Billy Woodward 2"
1935/36,27,"Willie MacDonald, Bunny Bell 2, Billy Woodward"
1935/36,28,"Bunny Bell, Fred Urmson"
1935/36,29,"Bunny Bell, Fred Urmson"
1935/36,30,"Bunny Bell, Billy Woodward 2, Fred Urmson"
1935/36,31,"Billy Woodward, Fred Urmson"
1935/36,32,"Horace Baker 2, Billy Woodward, Fred Urmson 3"
1935/36,33,Arthur Crompton
1935/36,34,Bunny Bell
1935/36,35,"Willie MacDonald, Bunny Bell, Billy Woodward 2"
1935/36,36,Reg Spencer
1935/36,37,"Ronnie Dellow 2, Billy Owen 2, Arthur Crompton"
1935/36,38,Willie MacDonald
1935/36,39,Billy Owen
1935/36,43,"Billy Woodward, Willie MacDonald, Edward Alcock"
1935/36,47,"Ronnie Dellow, Billy Eden, Billy Owen"
1936/37,1,"Ossie Jones 2, John Almond 2, OG"
1936/37,3,OG
1936/37,5,"Hugh McLaren, Ronnie Dellow, John Almond"
1936/37,6,"Alforth Miller, OG"
1936/37,7,Billy Eden 2
1936/37,8,OG
1936/37,10,"Ronnie Dellow, Billy Eden"
1936/37,11,"Pongo Waring, John Almond"
1936/37,13,"Joseph Carter, Pongo Waring 2"
1936/37,14,John Almond
1936/37,15,Albert Wood
1936/37,18,Albert Wood 2
1936/37,19,Pongo Waring 2
1936/37,20,"Ronnie Dellow, Pongo Waring"
1936/37,21,Ronnie Dellow
1936/37,22,Albert Wood
1936/37,23,"Ronnie Dellow, Ossie Jones, Pongo Waring 2, Billy Eden"
1936/37,24,Pongo Waring
1936/37,26,"Ronnie Dellow 3, Albert Wood"
1936/37,27,"Pongo Waring 2, Albert Wood"
1936/37,28,"Ossie Jones, Pongo Waring"
1936/37,29,"Ronnie Dellow, Pongo Waring, Billy Eden"
1936/37,30,"Ronnie Dellow 2, Pongo Waring, Albert Wood 2, Billy Eden"
1936/37,33,"Ernie Davies, Ronnie Dellow, Ossie Jones, Billy Eden"
1936/37,34,Ronnie Dellow
1936/37,36,"Ronnie Dellow, Billy Eden"
1936/37,39,Pongo Waring
1936/37,40,OG
1936/37,42,Ossie Jones
1936/37,43,"Billy Eden 2, Ossie Jones, Albert Wood 3"
1937/38,1,John Mayson
1937/38,2,"Billy Eden, Sidney Kearney, John Mayson"
1937/38,5,Pongo Waring
1937/38,6,"Pongo Waring, Sidney Kearney"
1937/38,7,"Billy Eden, James Cassidy 2, Pongo Waring 2"
1937/38,9,"George Flowers, Billy Eden, Ossie Jones, Pongo Waring, Stanley Duff"
1937/38,10,Stanley Duff
1937/38,11,Pongo Waring
1937/38,12,Pongo Waring
1937/38,13,"Billy Eden, Pongo Waring"
1937/38,14,"Archie Clark, James Cassidy"
1937/38,16,"Pongo Waring, Ted Buckley, Herbert King"
1937/38,17,"Ted Buckley, Stanley Duff"
1937/38,18,"Ronnie Dellow 2, Pongo Waring, Ted Buckley"
1937/38,19,"Ronnie Dellow, Pongo Waring, Ted Buckley"
1937/38,20,"Gilbert Wassell, Ted Buckley, Billy Eden"
1937/38,21,"Gilbert Wassell, Ted Buckley, Herbert King"
1937/38,22,"Ted Buckley, Herbert King"
1937/38,24,Ronnie Dellow
1937/38,25,"Ronnie Dellow, Pongo Waring 2"
1937/38,26,Pongo Waring
