season,game_no,player_name,shirt_no,role,on_for,off_for
1922/23,31,Halstead,5,starter,,
1922/23,31,Hawarden,6,starter,,
1922/23,31,Moreton,7,starter,,
1922/23,31,Beswick,8,starter,,
1922/23,31,Crowther,9,starter,,
1922/23,31,Hilton,10,starter,,
1922/23,31,Evans,11,starter,,
1922/23,32,Bradshaw,1,starter,,
1922/23,32,Thompson,2,starter,,
1922/23,32,Stuart,3,starter,,
1922/23,32,Campbell,4,starter,,
1922/23,32,Halstead,5,starter,,
1922/23,32,Sewell,6,starter,,
1922/23,32,Cook,7,starter,,
1922/23,32,Sayer,8,starter,,
1922/23,32,Crowther,9,starter,,
1922/23,32,Hilton,10,starter,,
1922/23,32,Evans,11,starter,,
1922/23,33,Bradshaw,1,starter,,
1922/23,33,Thompson,2,starter,,
1922/23,33,Stuart,3,starter,,
1922/23,33,Campbell,4,starter,,
1922/23,33,Halstead,5,starter,,
1922/23,33,Sewell,6,starter,,
1922/23,33,Moreton,7,starter,,
1922/23,33,Beswick,8,starter,,
1922/23,33,Sayer,9,starter,,
1922/23,33,Lomax,10,starter,,
1922/23,33,Evans,11,starter,,
1922/23,34,Bradshaw,1,starter,,
1922/23,34,Thompson,2,starter,,
1922/23,34,Stuart,3,starter,,
1922/23,34,Campbell,4,starter,,
1922/23,34,Halstead,5,starter,,
1922/23,34,Sewell,6,starter,,
1922/23,34,Moreton,7,starter,,
1922/23,34,Beswick,8,starter,,
1922/23,34,Sayer,9,starter,,
1922/23,34,Lomax,10,starter,,
1922/23,34,Evans,11,starter,,
1922/23,35,Bradshaw,1,starter,,
1922/23,35,Thompson,2,starter,,
1922/23,35,Stuart,3,starter,,
1922/23,35,Campbell,4,starter,,
1922/23,35,Halstead,5,starter,,
1922/23,35,Sewell,6,starter,,
1922/23,35,Moreton,7,starter,,
1922/23,35,Beswick,8,starter,,
1922/23,35,Sayer,9,starter,,
1922/23,35,Lomax,10,starter,,
1922/23,35,Evans,11,starter,,
1922/23,36,Bradshaw,1,starter,,
1922/23,36,Thompson,2,starter,,
1922/23,36,Stuart,3,starter,,
1922/23,36,Campbell,4,starter,,
1922/23,36,Halstead,5,starter,,
1922/23,36,Hawarden,6,starter,,
1922/23,36,Moreton,7,starter,,
1922/23,36,Beswick,8,starter,,
1922/23,36,Sayer,9,starter,,
1922/23,36,Lomax,10,starter,,
1922/23,36,Evans,11,starter,,
1922/23,37,Bradshaw,1,starter,,
1922/23,37,Thompson,2,starter,,
1922/23,37,Stuart,3,starter,,
1922/23,37,Hilton,4,starter,,
1922/23,37,Halstead,5,starter,,
1922/23,37,Hawarden,6,starter,,
1922/23,37,Moreton,7,starter,,
1922/23,37,Beswick,8,starter,,
1922/23,37,Sayer,9,starter,,
1922/23,37,Lomax,10,starter,,
1922/23,37,Evans,11,starter,,
1922/23,38,Bradshaw,1,starter,,
1922/23,38,Thompson,2,starter,,
1922/23,38,Stuart,3,starter,,
1922/23,38,Campbell,4,starter,,
1922/23,38,Sewell,5,starter,,
1922/23,38,Hawarden,6,starter,,
1922/23,38,Cook,7,starter,,
1922/23,38,Beswick,8,starter,,
1922/23,38,Sayer,9,starter,,
1922/23,38,Hilton,10,starter,,
1922/23,38,Evans,11,starter,,
1922/23,39,Bradshaw,1,starter,,
1922/23,39,Hayes C,2,starter,,
1922/23,39,Stuart,3,starter,,
1922/23,39,Campbell,4,starter,,
1922/23,39,Halstead,5,starter,,
1922/23,39,Sewell,6,starter,,
1922/23,39,Moreton,7,starter,,
1922/23,39,Sharkey,8,starter,,
1922/23,39,Sayer,9,starter,,
1922/23,39,Hayes F,10,starter,,
1922/23,39,Hawarden,11,starter,,
1923/24,1,Mitchell,1,starter,,
1923/24,1,Jackson G,2,starter,,
1923/24,1,Stuart,3,starter,,
1923/24,1,Buchan,4,starter,,
1923/24,1,Halstead,5,starter,,
1923/24,1,Campbell,6,starter,,
1923/24,1,Moreton,7,starter,,
1923/24,1,Brown,8,starter,,
1923/24,1,Sayer,9,starter,,
1923/24,1,Cartman,10,starter,,
1923/24,1,Evans,11,starter,,
1923/24,2,Mitchell,1,starter,,
1923/24,2,Jackson G,2,starter,,
1923/24,2,Stuart,3,starter,,
1923/24,2,Buchan,4,starter,,
1923/24,2,Halstead,5,starter,,
1923/24,2,Campbell,6,starter,,
1923/24,2,Moreton,7,starter,,
1923/24,2,Brown,8,starter,,
1923/24,2,Sayer,9,starter,,
1923/24,2,Cartman,10,starter,,
1923/24,2,Evans,11,starter,,
1923/24,3,Mitchell,1,starter,,
1923/24,3,Jackson G,2,starter,,
1923/24,3,Stuart,3,starter,,
1923/24,3,Buchan,4,starter,,
1923/24,3,Halstead,5,starter,,
1923/24,3,Campbell,6,starter,,
1923/24,3,Moreton,7,starter,,
1923/24,3,Brown,8,starter,,
1923/24,3,Sayer,9,starter,,
1923/24,3,Cartman,10,starter,,
1923/24,3,Evans,11,starter,,
1923/24,4,Mitchell,1,starter,,
1923/24,4,Jackson G,2,starter,,
1923/24,4,Stuart,3,starter,,
1923/24,4,Buchan,4,starter,,
1923/24,4,Leary,5,starter,,
1923/24,4,Campbell,6,starter,,
1923/24,4,Moreton,7,starter,,
1923/24,4,Brown,8,starter,,
1923/24,4,Sayer,9,starter,,
1923/24,4,Cartman,10,starter,,
1923/24,4,Evans,11,starter,,
1923/24,5,Mitchell,1,starter,,
1923/24,5,Jackson G,2,starter,,
1923/24,5,Stuart,3,starter,,
1923/24,5,Buchan,4,starter,,
1923/24,5,Leary,5,starter,,
1923/24,5,Campbell,6,starter,,
1923/24,5,Moreton,7,starter,,
1923/24,5,Brown,8,starter,,
1923/24,5,Sayer,9,starter,,
1923/24,5,Cartman,10,starter,,
1923/24,5,Evans,11,starter,,
1923/24,6,Mitchell,1,starter,,
1923/24,6,Jackson G,2,starter,,
