season,game_no,player_name,goals_scored
1928/29,10,Jack Flanagan,1
1928/29,11,Jack Bamber,1
1928/29,12,Harry Littlehales,1
1928/29,13,Billy Charlton,2
1928/29,13,Sammy Beswick,2
1928/29,13,Harry Littlehales,1
1928/29,13,Bert Cartman,1
1928/29,14,Sammy Beswick,2
1928/29,15,Harry Littlehales,4
1928/29,15,Bert Cartman,2
1928/29,16,Jack Flanagan,1
1928/29,16,Sammy Beswick,1
1928/29,17,Tommy Jones,1
1928/29,17,Harry Littlehales,1
1928/29,17,OG,1
1928/29,19,Tommy Jones,1
1928/29,19,Sammy Beswick,1
1928/29,20,Sammy Beswick,1
1928/29,21,Sammy Beswick,1
1928/29,22,Bert Cartman,1
1928/29,22,Sammy Beswick,1
1928/29,23,Bert Cartman,1
1928/29,25,Sammy Beswick,1
1928/29,26,Bert Cartman,2
1928/29,27,Harry Littlehales,1
1928/29,28,Teddy Barton,1
1928/29,29,Jack Flanagan,1
1928/29,30,Ginger Lewis,1
1928/29,31,Billy Charlton,1
1928/29,31,Fred Urmson,1
1928/29,33,Tommy Jones,1
1928/29,33,Billy Charlton,3
1928/29,33,Sammy Beswick,1
1928/29,34,Robert Gray,1
1928/29,34,Sammy Beswick,1
1928/29,35,Billy Charlton,1
1928/29,35,Sammy Beswick,2
1928/29,35,OG,1
1928/29,36,Billy Charlton,1
1928/29,36,Sammy Beswick,2
1928/29,37,Tommy Jones,1
1928/29,37,Harry Littlehales,1
1928/29,38,Fred Urmson,1
1928/29,39,Fred Urmson,1
1928/29,40,Bert Cartman,1
1928/29,40,Sammy Beswick,1
1928/29,40,Harry Littlehales,1
1928/29,40,Fred Urmson,1
1928/29,41,Tommy Jones,1
1928/29,41,Sammy Beswick,1
1928/29,42,Billy Charlton,1
1928/29,43,Tommy Jones,1
1928/29,43,Billy Charlton,1
1928/29,44,Tommy Naylor,1
1928/29,44,Billy Charlton,1
1928/29,44,Bill Ridding,1
1929/30,1,Tommy Naylor,1
1929/30,1,Sammy Meston,1
1929/30,1,Billy Charlton,1
1929/30,1,Archie Waterston,2
1929/30,2,Archie Waterston,3
1929/30,3,Sammy Meston,1
1929/30,4,Billy Charlton,1
1929/30,5,Billy Charlton,1
1929/30,5,Archie Waterston,3
1929/30,5,Reg Cropper,1
1929/30,6,Ginger Lewis,1
1929/30,6,Archie Waterston,2
1929/30,8,Billy Charlton,1
1929/30,8,Reg Cropper,2
1929/30,10,Billy Charlton,1
1929/30,10,Archie Waterston,1
1929/30,11,Bert Cartman,1
1929/30,11,Archie Waterston,1
1929/30,13,Billy Charlton,1
1929/30,14,Billy Charlton,2
1929/30,14,Archie Waterston,1
1929/30,14,Bert Cartman,1
1929/30,15,Bill Ridding,2
1929/30,16,Billy Charlton,2
1929/30,16,Archie Waterston,1
1929/30,17,Sammy Meston,1
1929/30,17,Archie Waterston,1
1929/30,21,Bill Ridding,1
1929/30,21,Fred Urmson,2
1929/30,24,Bert Cartman,1
1929/30,24,Fred Urmson,1
1929/30,25,Billy Charlton,2
1929/30,25,Archie Waterston,1
1929/30,26,Ginger Lewis,1
1929/30,26,Billy Charlton,1
1929/30,26,Archie Waterston,1
1929/30,27,Bert Cartman,1
1929/30,27,Billy Charlton,1
1929/30,28,Bill Ridding,1
1929/30,28,Reg Cropper,1
1929/30,29,Billy Charlton,2
1929/30,29,Bill Ridding,3
1929/30,29,Fred Urmson,2
1929/30,30,Bill Ridding,1
1929/30,31,Billy Charlton,1
1929/30,31,Bill Ridding,4
1929/30,32,Billy Charlton,1
1929/30,33,Sammy Meston,2
1929/30,33,Bert Cartman,2
1929/30,34,Archie Waterston,1
1929/30,35,Teddy Barton,1
1929/30,35,Sammy Meston,2
1929/30,36,Sammy Meston,1
1929/30,37,Billy Charlton,1
1929/30,37,Archie Waterston,1
1929/30,37,Fred Urmson,1
1929/30,38,Billy Charlton,1
1929/30,38,Fred Urmson,1
1929/30,39,Sammy Meston,1
1929/30,39,Fred Urmson,1
1929/30,41,Sammy Meston,1
1929/30,43,Fred Urmson,1
1929/30,44,Farewell Watts,1
1930/31,1,Farewell Watts,2
1930/31,1,Jack Kennedy,1
1930/31,2,Ernie Dixon,1
1930/31,2,Jack Kennedy,1
1930/31,3,Farewell Watts,2
1930/31,3,Ernie Dixon,1
1930/31,4,Ernie Dixon,1
1930/31,5,Sammy Meston,1
1930/31,5,Ernie Dixon,1
1930/31,6,Sammy Meston,2
1930/31,6,Farewell Watts,2
1930/31,7,Farewell Watts,2
1930/31,7,Ernie Dixon,1
1930/31,7,Jack Kennedy,3
1930/31,7,OG,1
1930/31,8,Ernie Dixon,1
1930/31,8,Jack Kennedy,1
1930/31,9,Jack Kennedy,1
1930/31,9,Fred Urmson,1
1930/31,10,Farewell Watts,1
1930/31,10,Ernie Dixon,1
1930/31,10,Jack Kennedy,1
1930/31,11,Farewell Watts,1
1930/31,11,Jack Kennedy,1
1930/31,12,Jack Kennedy,1
1930/31,13,Sammy Meston,1
1930/31,13,Farewell Watts,2
1930/31,13,Ernie Dixon,2
1930/31,13,Jack Kennedy,2
1930/31,14,Farewell Watts,1
1930/31,14,Jack Kennedy,2
1930/31,15,Farewell Watts,3
1930/31,15,Ernie Dixon,2
1930/31,16,Sammy Meston,1
1930/31,16,Jack Kennedy,2
1930/31,17,Ginger Lewis,1
1930/31,17,Farewell Watts,1
1930/31,17,Ernie Dixon,1
1930/31,17,Fred Urmson,1
1930/31,18,Farewell Watts,1
1930/31,18,Fred Urmson,1
1930/31,20,Farewell Watts,1
1930/31,20,Ernie Dixon,1
1930/31,20,Jack Kennedy,2
1930/31,22,Farewell Watts,2
1930/31,22,Ernie Dixon,2
1930/31,22,Jack Kennedy,2
1930/31,23,Farewell Watts,1
1930/31,23,Jack Kennedy,3
1930/31,24,Ginger Lewis,1
1930/31,24,Farewell Watts,1
1930/31,24,Ernie Dixon,2
1930/31,24,Jack Kennedy,1
1930/31,25,Farewell Watts,1
1930/31,26,Ernie Dixon,1
1930/31,27,Farewell Watts,1
1930/31,27,Ernie Dixon,3
1930/31,27,Jack Kennedy,4
1930/31,28,Sammy Meston,1
1930/31,28,Ernie Dixon,2
1930/31,30,Jack Kennedy,1
1930/31,30,Fred Urmson,1
1930/31,31,Sammy Meston,1
1930/31,31,Farewell Watts,1
1930/31,31,Ernie Dixon,1
1930/31,32,Jack Kennedy,1
1930/31,33,Farewell Watts,1
1930/31,33,Ernie Dixon,2
1930/31,34,Ernie Dixon,1
1930/31,34,Jack Kennedy,2
1930/31,34,Fred Urmson,1
1930/31,35,Farewell Watts,1
1930/31,35,Ernie Dixon,2
1930/31,35,Jack Kennedy,1
1930/31,35,Fred Urmson,1
1930/31,36,Ernie Dixon,2
1930/31,37,Sammy Meston,1
1930/31,37,Farewell Watts,1
1930/31,37,Fred Urmson,1
1930/31,38,Fred Urmson,2
1930/31,40,Ernie Dixon,1
1930/31,40,Jack Kennedy,1
1930/31,41,Teddy Barton,1
1930/31,43,Jack Kennedy,1
1931/32,1,Farewell Watts,1
1931/32,1,Ernie Dixon,1
1931/32,3,Sammy Meston,1
1931/32,3,Farewell Watts,1
1931/32,3,Ernie Dixon,1
1931/32,3,Jack Kennedy,1
1931/32,3,Fred Urmson,1
1931/32,5,Farewell Watts,2
1931/32,5,Ernie Dixon,2
1931/32,5,Fred Urmson,2
1931/32,6,Ernie Dixon,1
1931/32,6,OG,1
1931/32,7,Jack Kennedy,1
1931/32,8,Sammy Meston,2
1931/32,8,Bert Fishwick,1
1931/32,8,Bert Whitehurst,4
1931/32,8,Fred Urmson,1
1931/32,9,Sammy Meston,1
1931/32,10,Bert Fishwick,1
1931/32,10,Jack Kennedy,1
1931/32,10,Fred Urmson,1
1931/32,11,Sammy Meston,1
1931/32,12,Bert Whitehurst,1
1931/32,12,Bert Fishwick,1
1931/32,13,Ginger Lewis,1
1931/32,13,Fred Urmson,1
1931/32,14,Ernie Dixon,1
1931/32,14,OG,1
1931/32,15,Sammy Meston,2
1931/32,15,Ernie Dixon,1
1931/32,15,Jack Kennedy,2
1931/32,16,Ernie Dixon,1
1931/32,16,Bert Whitehurst,1
1931/32,16,Fred Urmson,1
1931/32,17,Farewell Watts,1
1931/32,17,Ernie Dixon,2
1931/32,17,Bert Whitehurst,1
1931/32,17,OG,1
1931/32,18,Sammy Meston,1
1931/32,18,Ernie Dixon,1
1931/32,19,Ernie Dixon,1
1931/32,19,Bert Whitehurst,1
1931/32,19,Fred Urmson,1
1931/32,19,OG,1
1931/32,20,Sammy Meston,1
1931/32,20,Farewell Watts,5
1931/32,20,Ernie Dixon,2
1931/32,20,Bert Whitehurst,1
1931/32,21,Ginger Lewis,1
1931/32,21,Sammy Meston,1
1931/32,21,Farewell Watts,1
1931/32,21,Ernie Dixon,1
1931/32,21,Fred Urmson,2
1931/32,22,Sammy Meston,1
1931/32,23,Ernie Dixon,2
1931/32,24,Farewell Watts,1
1931/32,24,Ernie Dixon,1
1931/32,25,Farewell Watts,1
1931/32,25,Bert Whitehurst,2
1931/32,26,Bert Whitehurst,1
1931/32,27,Jack Kennedy,1
1931/32,27,Fred Urmson,1
1931/32,29,Farewell Watts,1
1931/32,29,Ernie Dixon,1
1931/32,30,Teddy Barton,1
1931/32,30,Jack Kennedy,1
1931/32,31,Farewell Watts,2
1931/32,31,OG,1
1931/32,32,Bert Fishwick,1
1931/32,33,Ernie Dixon,1
1931/32,33,Fred Urmson,2
1931/32,34,Sammy Meston,2
1931/32,34,Bunny Bell,2
1931/32,34,Ernie Dixon,1
1931/32,34,Fred Urmson,1
1931/32,36,Bunny Bell,1
1931/32,37,Bunny Bell,1
1931/32,39,Bert Fishwick,1
1931/32,39,Jack Kennedy,2
1931/32,39,Fred Urmson,2
1931/32,40,Bunny Bell,2
1931/32,40,Jack Kennedy,1
1931/32,40,OG,1
1931/32,41,Bunny Bell,3
1931/32,43,Bunny Bell,3
1931/32,43,Bert Whitehurst,1
1931/32,44,Ernie Dixon,1
1931/32,44,Fred Urmson,1
1932/33,1,Bunny Bell,2
1932/33,1,Bert Whitehurst,1
1932/33,2,Bunny Bell,1
1932/33,3,Bert Fishwick,1
1932/33,4,Bunny Bell,1
1932/33,4,Teddy Spencer,1
1932/33,4,Fred Urmson,1
1932/33,5,Bert Fishwick,1
1932/33,5,Bunny Bell,1
1932/33,6,Bunny Bell,1
1932/33,7,Bunny Bell,1
1932/33,7,Fred Urmson,1
1932/33,8,Reg Spencer,1
1932/33,8,Bunny Bell,2
1932/33,8,Bert Whitehurst,1
1932/33,10,Itom McMurray,1
1932/33,10,Bert Whitehurst,1
1932/33,10,Fred Urmson,1
1932/33,11,Itom McMurray,2
1932/33,12,Bert Whitehurst,1
1932/33,13,Farewell Watts,1
1932/33,14,Itom McMurray,1
1932/33,14,Bunny Bell,1
1932/33,16,Ernie Dixon,1
1932/33,16,Bert Whitehurst,1
1932/33,16,Fred Urmson,1
1932/33,17,Ernie Dixon,1
1932/33,18,Bert Whitehurst,1
1932/33,18,Fred Urmson,1
1932/33,19,Farewell Watts,2
1932/33,19,Ernie Dixon,1
1932/33,21,Ernie Dixon,2
1932/33,21,Bert Whitehurst,2
1932/33,22,Bunny Bell,1
1932/33,22,OG,1
1932/33,23,Bert Fishwick,1
1932/33,23,Bert Whitehurst,2
1932/33,24,Fred Urmson,1
1932/33,24,OG,2
1932/33,25,Bert Whitehurst,2
1932/33,26,Bert Whitehurst,1
1932/33,26,Fred Urmson,1
1932/33,27,Arthur Adams,1
1932/33,27,Farewell Watts,1
1932/33,27,Bert Whitehurst,1
1932/33,28,Fred Urmson,1
1932/33,31,Bert Whitehurst,1
1932/33,32,Bunny Bell,1
1932/33,32,Fred Urmson,1
1932/33,33,Farewell Watts,1
1932/33,33,Fred Urmson,1
1932/33,35,Farewell Watts,1
1932/33,35,OG,1
1932/33,37,Teddy Spencer,1
1932/33,38,Fred Urmson,1
1932/33,39,Bert Fishwick,1
1932/33,39,Farewell Watts,2
1932/33,39,Fred Urmson,2
1932/33,40,Robert Tong,1
1932/33,40,Bunny Bell,2
1932/33,41,Farewell Watts,1
1932/33,41,Bert Whitehurst,1
1932/33,41,Fred Urmson,1
1932/33,42,Bunny Bell,1
1932/33,42,OG,1
1932/33,43,Bunny Bell,1
1932/33,43,Bert Whitehurst,1
1932/33,47,Bunny Bell,1
1933/34,1,Bert Whitehurst,2
1933/34,1,Billy Woodward,3
1933/34,3,William Mackay,1
1933/34,3,Farewell Watts,1
1933/34,3,Fred Urmson,1
1933/34,4,Farewell Watts,2
1933/34,4,Bert Whitehurst,1
1933/34,5,Farewell Watts,1
1933/34,5,Bert Whitehurst,1
1933/34,6,Bert Whitehurst,1
1933/34,6,Billy Woodward,1
1933/34,9,Bunny Bell,1
1933/34,10,Bunny Bell,4
1933/34,10,Billy Woodward,1
1933/34,11,Bunny Bell,2
1933/34,12,Bunny Bell,1
1933/34,14,Bob Meacock,1
1933/34,14,Bunny Bell,3
1933/34,14,Fred Urmson,2
1933/34,16,Bunny Bell,4
1933/34,16,Teddy Spencer,2
1933/34,16,Fred Urmson,1
1933/34,17,Bunny Bell,1
1933/34,18,Tich Pearson,1
1933/34,18,Bunny Bell,2
1933/34,18,Billy Woodward,1
1933/34,19,Bunny Bell,1
1933/34,19,Fred Urmson,1
1933/34,20,Bob Meacock,1
1933/34,20,Bunny Bell,3
1933/34,20,Billy Woodward,1
