game_date,player_name,min_on,min_off,min_so
1995-03-11,Johnny Morrissey,0,55,0
1995-03-18,Chris Malkin,0,61,0
1995-03-18,Gary Jones,61,0,0
1995-03-18,Ged Brannan,0,61,0
1995-03-18,Jon Kenworthy,61,0,0
1995-03-25,Gary Jones,80,0,0
1995-03-25,Pat Nevin,0,80,0
1995-04-01,Chris Malkin,0,81,0
1995-04-01,Gary Jones,81,0,0
1995-04-01,Johnny Morrissey,0,66,0
1995-04-01,Jon Kenworthy,66,0,0
1995-04-14,Gary Jones,86,0,0
1995-04-14,Ged Brannan,77,0,0
1995-04-14,Johnny Morrissey,0,86,0
1995-04-14,Kenny Irons,0,77,0
1995-04-17,Chris Malkin,0,52,0
1995-04-17,Gary Jones,52,0,0
1995-04-21,Chris Malkin,0,68,0
1995-04-21,Gary Jones,68,0,0
1995-04-21,Ged Brannan,68,0,0
1995-04-21,Liam O'Brien,0,68,0
1995-04-30,Dave Higgins,0,0,45
1995-04-30,Ged Brannan,85,0,0
1995-04-30,Ian Thomas-Moore,73,0,0
1995-04-30,Jon Kenworthy,0,85,0
1995-04-30,Pat Nevin,0,73,0
1995-05-07,Gary Jones,50,0,0
1995-05-07,Jon Kenworthy,83,0,0
1995-05-07,Shaun Garnett,0,50,0
1995-05-07,Tony Thomas,0,83,0
1995-05-14,Ged Brannan,69,0,0
1995-05-14,Tony Thomas,0,69,0
1995-05-17,Chris Malkin,0,80,0
1995-05-17,Gary Jones,80,0,0
1995-05-17,Liam O'Brien,50,0,0
1995-05-17,Pat Nevin,0,50,0
1995-05-17,Tony Thomas,0,0,84
1995-08-12,Gary Stevens,0,18,0
1995-08-12,Ian Thomas-Moore,72,0,0
1995-08-12,Shaun Garnett,0,72,0
1995-08-12,Steve Mungall,18,0,0
1995-08-26,Ian Thomas-Moore,70,0,0
1995-08-26,Kenny Irons,0,70,0
1995-09-09,Gary Stevens,60,0,0
1995-09-09,Johnny Morrissey,0,60,0
1995-09-09,Shaun Teale,0,0,57
1995-09-16,Gary Jones,46,0,0
1995-09-16,Gary Stevens,0,46,0
1995-09-16,Ian Thomas-Moore,67,0,0
1995-09-16,Liam O'Brien,0,67,0
1995-09-19,Ian Thomas-Moore,80,0,0
1995-09-19,Johnny Morrissey,0,80,0
1995-09-23,Ian Thomas-Moore,85,0,0
1995-09-23,John Aldridge,0,89,0
1995-09-23,Jon Kenworthy,89,0,0
1995-09-23,Shaun Garnett,0,85,0
1995-09-30,Gary Stevens,0,75,0
1995-09-30,Ian Thomas-Moore,75,0,0
1995-09-30,Jon Kenworthy,25,0,0
1995-09-30,Pat Nevin,0,25,0
1995-10-07,Gary Bennett,0,82,0
1995-10-07,Ian Thomas-Moore,82,0,0
1995-10-14,Graham Branch,81,0,0
1995-10-14,John Aldridge,0,81,0
1995-10-24,Gary Bennett,0,74,0
1995-10-24,Graham Branch,74,0,0
1995-11-08,Gary Bennett,0,74,0
1995-11-08,Graham Branch,74,0,0
1995-11-19,Graham Branch,75,0,0
1995-11-19,Ian Thomas-Moore,0,75,0
1995-11-22,Gary Stevens,0,84,0
1995-11-22,Kenny Irons,84,0,0
1995-11-25,Alan Rogers,63,0,0
1995-11-25,Graham Branch,83,0,0
1995-11-25,Kenny Irons,0,63,0
1995-11-25,Pat Nevin,0,83,0
1995-12-02,Gary Bennett,0,82,0
1995-12-02,Graham Branch,82,0,0
1995-12-02,Liam O'Brien,76,0,0
1995-12-02,Shaun Garnett,0,76,0
1995-12-09,Gary Jones,0,60,0
1995-12-09,Graham Branch,0,67,0
1995-12-09,Johnny Morrissey,67,0,0
1995-12-09,Liam O'Brien,60,0,0
1995-12-16,Ian Thomas-Moore,0,51,0
1995-12-16,Kenny Irons,79,0,0
1995-12-16,Liam O'Brien,51,0,0
1995-12-16,Pat Nevin,0,79,0
1995-12-26,Gary Bennett,0,57,0
1995-12-26,Johnny Morrissey,57,0,0
1996-01-01,Johnny Morrissey,83,0,0
1996-01-01,Pat Nevin,0,83,0
1996-01-06,Gary Jones,0,70,0
1996-01-06,Liam O'Brien,70,0,0
1996-01-13,Gary Jones,46,0,0
1996-01-13,Graham Branch,0,89,0
1996-01-13,Kenny Irons,0,46,0
1996-01-13,Steve Mungall,89,0,0
1996-01-20,Dave Higgins,0,77,0
1996-01-20,Graham Branch,77,0,0
1996-01-30,Graham Branch,84,0,0
1996-01-30,Liam O'Brien,0,77,0
1996-01-30,Pat Nevin,0,84,0
1996-01-30,Steve Mungall,77,0,0
1996-02-03,Alan Mahon,81,0,0
1996-02-03,Graham Branch,19,0,0
1996-02-03,Liam O'Brien,0,19,0
1996-02-03,Steve Mungall,0,81,0
1996-02-10,Alan Mahon,70,0,0
1996-02-10,Graham Branch,77,0,0
1996-02-10,Johnny Morrissey,46,0,0
1996-02-10,Kenny Irons,0,70,0
1996-02-10,Pat Nevin,0,77,0
1996-02-10,Tony Thomas,0,46,0
1996-02-17,John McGreal,0,81,0
1996-02-17,Shaun Garnett,81,0,0
1996-02-20,Graham Branch,0,83,0
1996-02-20,Johnny Morrissey,83,0,0
1996-02-24,Gary Bennett,0,77,0
1996-02-24,Gary Jones,77,0,0
1996-02-24,Johnny Morrissey,77,0,0
1996-02-24,Liam O'Brien,0,77,0
1996-02-24,Shaun Garnett,0,46,0
1996-02-24,Steve Mungall,46,0,0
1996-03-03,Alan Rogers,0,90,0
1996-03-03,Dave Higgins,90,0,0
1996-03-03,Gary Bennett,87,0,0
1996-03-03,Graham Branch,0,87,0
1996-03-03,Kenny Irons,68,0,0
1996-03-03,Paul Cook,0,68,0
1996-03-09,Gary Stevens,0,46,0
1996-03-09,Graham Branch,0,69,0
1996-03-09,Johnny Morrissey,69,0,0
1996-03-09,Kenny Irons,46,0,0
1996-03-12,Gary Bennett,80,0,0
1996-03-12,Graham Branch,0,80,0
1996-03-16,Gary Bennett,76,0,0
1996-03-16,Graham Branch,0,76,0
1996-03-16,Kenny Irons,90,0,0
1996-03-16,Pat Nevin,0,90,0
1996-03-23,Johnny Morrissey,58,0,0
1996-03-23,Kenny Irons,89,0,0
1996-03-23,Pat Nevin,0,89,0
1996-03-23,Tony Thomas,0,58,0
1996-03-30,Graham Branch,81,0,0
1996-03-30,Kenny Irons,0,81,0
1996-04-02,Gary Jones,85,0,0
1996-04-02,Graham Branch,0,85,0
1996-04-02,Kenny Irons,77,0,0
1996-04-02,Paul Cook,0,77,0
1996-04-06,Graham Branch,57,0,0
1996-04-06,Kenny Irons,0,57,0
1996-04-08,Graham Branch,0,83,0
1996-04-08,Jon Kenworthy,83,0,0
1996-04-13,Gary Jones,82,0,0
1996-04-13,John Aldridge,0,82,0
1996-04-13,Johnny Morrissey,0,75,0
1996-04-13,Jon Kenworthy,75,0,0
1996-04-13,Kenny Irons,0,82,0
1996-04-13,Liam O'Brien,82,0,0
1996-04-17,Alan Morgan,80,0,0
1996-04-17,Alan Rogers,0,80,0
1996-04-17,Johnny Morrissey,0,79,0
1996-04-17,Pat Nevin,79,0,0
1996-04-20,Alan Morgan,66,0,0
1996-04-20,Gary Jones,75,0,0
1996-04-20,John Aldridge,0,75,0
1996-04-20,Kenny Irons,0,66,0
1996-04-27,Alan Morgan,16,0,0
1996-04-27,Dave Higgins,0,0,37
1996-04-27,Ian Thomas-Moore,86,0,0
1996-04-27,John Aldridge,0,86,0
1996-04-27,Pat Nevin,0,16,0
1996-04-30,Alan Morgan,62,0,0
1996-04-30,Alan Rogers,0,62,0
1996-04-30,Ian Thomas-Moore,85,0,0
1996-04-30,John Aldridge,0,85,0
1996-05-05,Ian Thomas-Moore,76,0,0
1996-05-05,Kenny Irons,0,76,0
