season,game_no,player_name,goals_scored,game_date,opposition,venue,score,goals_for,goals_against,generic_comp,game_type,league_tier,manager
1925/26,3,Billy Chalmers,1,1925-09-05,Hartlepools United,A,2-3,2,3,Football League,League,3,Bert Cooke
1925/26,4,Vince Matthews,1,1925-09-12,Rochdale,H,3-5,3,5,Football League,League,3,Bert Cooke
1925/26,4,Bob White,1,1925-09-12,Rochdale,H,3-5,3,5,Football League,League,3,Bert Cooke
1925/26,4,Fred Marquis,1,1925-09-12,Rochdale,H,3-5,3,5,Football League,League,3,Bert Cooke
1925/26,6,Fred Marquis,2,1925-09-19,New Brighton,A,2-3,2,3,Football League,League,3,Bert Cooke
1925/26,7,Bob White,1,1925-09-26,Walsall,A,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,7,Fred Marquis,2,1925-09-26,Walsall,A,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,11,Tom Stuart,1,1925-10-17,Wigan Borough,H,5-1,5,1,Football League,League,3,Bert Cooke
1925/26,11,Fred Marquis,1,1925-10-17,Wigan Borough,H,5-1,5,1,Football League,League,3,Bert Cooke
1925/26,11,Bob White,2,1925-10-17,Wigan Borough,H,5-1,5,1,Football League,League,3,Bert Cooke
1925/26,11,Norman Proctor,1,1925-10-17,Wigan Borough,H,5-1,5,1,Football League,League,3,Bert Cooke
1925/26,13,Fred Marquis,1,1925-10-31,Lincoln City,H,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,13,Bob White,1,1925-10-31,Lincoln City,H,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,14,Billy Chalmers,1,1925-11-07,Crewe Alexandra,A,1-1,1,1,Football League,League,3,Bert Cooke
1925/26,15,Bob White,1,1925-11-14,Coventry City,H,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,15,Billy Chalmers,1,1925-11-14,Coventry City,H,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,16,Fred Marquis,1,1925-11-21,Wrexham,A,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,16,Bob White,1,1925-11-21,Wrexham,A,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,18,Norman Proctor,1,1925-12-02,Crewe Alexandra,A,1-2,1,2,FA Cup,Cup,NA,Bert Cooke
1925/26,19,Norman Proctor,1,1925-12-05,Southport,A,1-2,1,2,Football League,League,3,Bert Cooke
1925/26,21,Fred Marquis,1,1925-12-25,Accrington Stanley,A,3-4,3,4,Football League,League,3,Bert Cooke
1925/26,21,Norman Proctor,1,1925-12-25,Accrington Stanley,A,3-4,3,4,Football League,League,3,Bert Cooke
1925/26,21,Billy Chalmers,1,1925-12-25,Accrington Stanley,A,3-4,3,4,Football League,League,3,Bert Cooke
1925/26,22,Fred Marquis,2,1925-12-26,Accrington Stanley,H,2-2,2,2,Football League,League,3,Bert Cooke
1925/26,23,Sammy Beswick,1,1926-01-01,Rotherham United,H,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,23,Fred Marquis,1,1926-01-01,Rotherham United,H,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,23,Norman Proctor,1,1926-01-01,Rotherham United,H,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,24,Billy Fogg,1,1926-01-02,Durham City,A,1-2,1,2,Football League,League,3,Bert Cooke
1925/26,25,Fred Marquis,1,1926-01-09,Doncaster Rovers,H,1-0,1,0,Football League,League,3,Bert Cooke
1925/26,26,Bob White,1,1926-01-16,Hartlepools United,H,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,26,Norman Proctor,1,1926-01-16,Hartlepools United,H,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,27,Johnny Campbell,1,1926-01-23,Rochdale,A,2-3,2,3,Football League,League,3,Bert Cooke
1925/26,27,Bob White,1,1926-01-23,Rochdale,A,2-3,2,3,Football League,League,3,Bert Cooke
1925/26,28,Bob White,2,1926-02-06,Walsall,H,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,30,Sammy Beswick,2,1926-02-20,Bradford Park Avenue,H,3-2,3,2,Football League,League,3,Bert Cooke
1925/26,30,Bert Cartman,1,1926-02-20,Bradford Park Avenue,H,3-2,3,2,Football League,League,3,Bert Cooke
1925/26,31,Tom Stuart,1,1926-02-27,Wigan Borough,A,2-2,2,2,Football League,League,3,Bert Cooke
1925/26,31,Bob White,1,1926-02-27,Wigan Borough,A,2-2,2,2,Football League,League,3,Bert Cooke
1925/26,32,Jimmy Moreton,1,1926-03-06,Ashington,H,1-4,1,4,Football League,League,3,Bert Cooke
1925/26,33,Fred Marquis,1,1926-03-13,Lincoln City,A,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,33,Billy Charlton,2,1926-03-13,Lincoln City,A,3-1,3,1,Football League,League,3,Bert Cooke
1925/26,34,Fred Marquis,2,1926-03-20,Crewe Alexandra,H,2-0,2,0,Football League,League,3,Bert Cooke
1925/26,35,Fred Marquis,1,1926-03-27,Coventry City,A,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,35,Billy Charlton,1,1926-03-27,Coventry City,A,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,36,Tom Stuart,1,1926-04-02,Halifax Town,H,3-1,3,1,Football League,League,3,Bert Cooke
